[0, 0;
 0.0099999998, 0;
 0.75012159, -0.12132604;
 1.4285715, -0.17857215;
 2.2468038, -0.186267;
 2.4293852, -0.17857215;
 2.5294664, -0.17857215;
 2.6295478, -0.17857215;
 2.7296293, -0.17857215;
 3.7409654, -0.20385158;
 4.4865179, -0.28540739;
 5.2302294, -0.38232532;
 5.9801683, -0.37275189;
 6.7236638, -0.47131544;
 7.4733338, -0.49355865;
 7.9097571, -0.51772052;
 8.1086407, -0.53571498;
 8.408884, -0.53571498;
 8.6090488, -0.53571498;
 8.9699306, -0.57853591;
 9.7158251, -0.65690166;
 10.4647, -0.69796687;
 11.211027, -0.77209854;
 11.956991, -0.84980559;
 12.701308, -0.94196051;
 13.447118, -1.0211332;
 14.192985, -1.0997641;
 14.514547, -1.1192874;
 14.934717, -1.2108161;
 15.679407, -1.2999018;
 16.428349, -1.2600703;
 17.17314, -1.3483155;
 17.91184, -1.4780062;
 18.658932, -1.5440043;
 18.919369, -1.5475907;
 19.404793, -1.6226965;
 20.143625, -1.7516396;
 20.888428, -1.8397834;
 21.484995, -1.9878449;
 21.575073, -2.0314634;
 22.205612, -2.3367753;
 22.295689, -2.3803937;
 22.58811, -2.5207472;
 23.078489, -2.5442677;
 23.569178, -2.6424062;
 23.863592, -2.7012887;
 24.454834, -2.8056288;
 24.553659, -2.8214436;
 25.146605, -2.9163151;
 25.541901, -2.9795628;
 25.73955, -3.0111866;
 26.352427, -3.0827796;
 27.099648, -3.1472757;
 27.846636, -3.2144229;
 28.593767, -3.279959;
 29.341196, -3.3419969;
 30.089848, -3.3869405;
 30.837191, -3.4500237;
 31.58334, -3.5259314;
 32.330067, -3.5959077;
 33.076351, -3.6704762;
 33.822845, -3.7429092;
 34.196175, -3.7500007;
 34.570156, -3.8063786;
 34.790726, -3.8276954;
 35.316406, -3.8812919;
 36.063465, -3.9476402;
 36.809834, -4.0213552;
 37.556805, -4.0887032;
 38.304306, -4.149857;
 39.051037, -4.2198105;
 39.796448, -4.3026643;
 40.543835, -4.3652201;
 41.050339, -4.4642863;
 41.150421, -4.4642863;
 41.650829, -4.4642863;
 42.037323, -4.5048208;
 42.245743, -4.5205779;
 42.78463, -4.568305;
 43.532085, -4.6300292;
 44.278419, -4.704082;
 45.024391, -4.7817016;
 45.318474, -4.8214293;
 45.767456, -4.8834672;
 46.111801, -4.9136033;
 46.515091, -4.9429626;
 47.262123, -5.0096331;
 48.009327, -5.0743427;
 48.497429, -5.1541853;
 48.756523, -5.1391525;
 49.097431, -5.1781855;
 49.503674, -5.204452;
 49.795795, -5.2336645;
 49.895561, -5.2416453;
 49.995319, -5.2496266;
 50.095085, -5.2576075;
 50.494137, -5.2895336;
 50.693661, -5.3054929;
 50.998726, -5.326169;
 51.091919, -5.3453155;
 51.191288, -5.3572416;
 51.390022, -5.3810892;
 51.588764, -5.4049392;
 51.986237, -5.4526339;
 52.488251, -5.5022478;
 52.780876, -5.5503306;
 53.078106, -5.5927911;
 53.177181, -5.6069465;
 53.573483, -5.6635594;
 53.870708, -5.7060194;
 54.620125, -5.6764493;
 55.367596, -5.737998;
 56.115204, -5.7978635;
 56.86264, -5.8598137;
 57.460361, -5.892858;
 57.610088, -5.9216199;
 58.359291, -5.956223;
 58.756248, -5.979321;
 59.107632, -6.0060954;
 59.855534, -6.06214;
 60.348225, -6.1492872;
 60.747272, -6.181211;
 60.9468, -6.1971726;
 61.146324, -6.2131348;
 61.545372, -6.2450609;
 61.745335, -6.2499981;
 62.098137, -6.243876;
 62.345829, -6.250001;
 62.846409, -6.294735;
 63.59417, -6.3526459;
 64.038994, -6.3533821;
 64.34304, -6.3937869;
 65.090851, -6.4510899;
 65.84008, -6.4851189;
 66.588333, -6.5362444;
 67.337021, -6.5806394;
 67.726082, -6.6071439;
 68.085823, -6.6230721;
 68.83313, -6.686604;
 69.580757, -6.7462521;
 70.32933, -6.7925463]
